GeneSymbol	corr_miRNA143_mrna	corr_miRNA143_protein
A1BG	0.269718309859155	-0.171801772399386
A1CF	-0.131506803381578	-0.0810248299614139
A2ML1	0.25020434094017	0.174970235807118
A2M	0.473775989268947	-0.102887420829847
AAAS	-0.174144869215292	-0.254544849858446
AACS	-0.00727699530516432	-0.0101628683342559
AAK1	0.109389671361502	0.360935628211006
AARS2	-0.149228705566734	-0.0764690106156955
AARS	-0.0855130784708249	0.0166167827881897
AATF	-0.0824279007377599	-0.162919413873129
ABAT	0.0617706237424547	0.093339784814743
ABCA13	-0.134887231127249	0.292583707406438
ABCB7	0.13588195841717	0.0879749884078468
ABCC2	0.0515090543259557	0.255570944040731
ABCC3	-0.0687458081824279	-0.128398874450389
ABCD3	-0.142689470154259	-0.160886004896751
ABCE1	-0.0352783366867874	-0.0263919046949642
ABCF1	-0.152246814218645	-0.0639514411800358
ABCF2	0.155935613682093	0.172924959457414
ABCF3	-0.0506706908115359	-0.42448179567579
ABHD10	0.00328638497652582	0.0350941909317408
ABHD11	-0.0572099262240107	0.03420523138833
ABHD12	0.197216633132126	0.122542402934206
ABHD14B	-0.192924211938296	-0.054930037980116
ABI1	0.13765928906774	-0.155522951299927
ABLIM1	-0.0645539906103286	-0.118426036112042
ABLIM2	0.0268947015425889	0.0450797843685032
ABP1	0.0767605633802817	-0.0430533583233158
ABR	-0.19738430583501	-0.17184476729989
ACAA1	0.0314218645204561	0.00434279582213667
ACAA2	0.00107310529845741	-0.0714309668733942
ACACA	-0.239604292421194	-0.126725763156274
ACAD8	-0.11391683433937	-0.000422115046112298
ACAD9	-0.0183433936955064	0.238857775378287
ACADM	0.08420523138833	-0.0141349273556892
ACADSB	-0.194735077129443	-0.125440155676024
ACADS	-0.161804158283032	-0.175909705473599
ACADVL	0.0141180415828303	-0.200154261501334
ACAP2	0.0642186452045607	0.0854778354086225
ACAP3	-0.198725687458082	0.183244737763614
ACAT1	-0.0490945674044266	-0.187378958282563
ACAT2	-0.103856472166331	-0.255503735321626
ACBD3	0.117203219315895	-0.0475859120230675
ACBD5	-0.106706908115359	-0.0180840479091403
ACIN1	-0.339470154258887	-0.0486598422314093
ACLY	0.103152246814219	0.0413819700045563
ACO1	0.0373910127431254	-0.0552173986646966
ACO2	-0.0248490945674044	-0.0489804816984807
ACOT11	-0.0752179745137492	-0.00813722731395853
ACOT13	-0.149597585513078	-0.0463466778860375
ACOT1	-0.115224681421865	-0.132797894017863
ACOT7	-0.0457746478873239	-0.0528186726880732
ACOT8	0.137994634473508	0.043760996686571
ACOT9	0.335680751173709	0.191820788437234
ACOX1	0.0131455399061033	0.121002767256866
ACP1	-0.0181757209926224	-0.159005357193358
ACP2	0.0340040241448692	-0.147938269363242
ACSF2	0.0666666666666667	0.00670273108820073
ACSF3	-0.0742119382964453	-0.104463597094189
ACSL1	0.00305164319248826	-0.169669430500853
ACSL3	-0.0355466130114017	-0.096411804158283
ACSL4	0.194399731723675	-0.0626126618166839
ACSL5	0.191985244802146	0.094452409128025
ACSM3	-0.352783366867874	-0.230597263796909
ACSS1	-0.0224346076458752	-0.109677473478859
ACSS2	-0.112910798122066	-0.130115795826445
ACTA1	-0.22232289935089	0.175378406726791
ACTA2	0.545305164319249	0.138938854632575
ACTBL2	0.224104596961498	0.230866113115402
ACTB	0.234238765928907	0.188226350442421
ACTG1	-0.0558014755197854	0.188103146976993
ACTG2	0.47458081824279	0.146652907217017
ACTL6A	0.0108651911468813	-0.126057394851805
ACTN1	0.185949027498323	0.294322030197619
ACTN2	0.257431614187853	0.33241666182495
ACTN3	0.022321561469172	0.318046915653623
ACTN4	0.0893695506371563	-0.0361699504335416
ACTR1A	0.228236083165661	0.278441959159852
ACTR1B	0.0794097920858484	0.0485089330032623
ACTR2	0.175754527162978	0.282928383744132
ACTR3B	0.0331991951710262	-0.0104463597094189
ACTR3	0.37112676056338	0.0743833527107787
ACY1	-0.133735747820255	-0.23947406549067
ADAM10	0.0904761904761905	-0.0289762724251475
ADAMDEC1	0.30083836351442	0.0223041661658888
ADAR	0.0137826961770624	-0.0216469089049361
ADD1	-0.0208584842387659	-0.157768536927645
ADD3	-0.0961099932930919	-0.171156442539413
ADH1B	0.273004694835681	-0.106981638507776
ADH1C	-0.0233735747820255	-0.193146642523098
ADH5	0.0727699530516432	-0.0525826004595982
ADK	0.136854460093897	0.0387836716337869
ADNP	-0.0668008048289738	0.110201494544771
ADPGK	-0.0565392354124748	-0.00769900302806885
ADPRHL2	-0.0332997987927565	0.064279486704758
ADRBK1	-0.156606304493628	-0.293950922331854
ADRM1	0.0968477531857813	0.15451816844676
ADSL	0.0588531187122736	-0.081741813254503
ADSS	0.117002012072435	-0.00383447774951978
AEBP1	0.4140174379611	0.373295997637949
AFAP1L1	0.305633802816901	-0.0501936985514914
AFG3L2	-0.232193158953722	-0.156425798820406
AFM	-0.08057435341827	-0.121682151332352
AGFG1	0.139771965124078	0.0882989887493272
AGK	-0.0590207914151576	0.0196183641412843
AGL	-0.170992622401073	-0.367232301759204
AGMAT	-0.0586854460093897	-0.105027383035209
AGPAT5	-0.197585513078471	-0.0827601751023854
AGPS	-0.0856807511737089	-0.162780754094597
AGR2	-0.229577464788732	-0.277876521837063
AGR3	-0.148625083836351	-0.229296265898529
AGRN	-0.0478537894030852	0.215392354124748
AGT	0.0126760563380282	-0.0280688811052386
AGXT2L1	0.00589910500960441	0.0125988760807801
