Sample	20qAmpScore	TOMM34_Protein_Exp
TCGA-AA-A02O	0.781	2.60257190031453
TCGA-AA-3534	0.708	2.30358850418443
TCGA-AA-3818	0.717	0
TCGA-AG-A02X	0.666	2.75432493828779
TCGA-AG-A020	1.712	3.60507007416973
TCGA-AF-2691	0.994	4.82299843154192
TCGA-AA-A01F	2.48	4.32950131459216
TCGA-AG-A00C	1.235	2.57989151117373
TCGA-AG-A016	3.657	4.64324861131096
TCGA-AG-4007	2.011	3.06313958881201
TCGA-AA-A00J	0.003	2.55942740861402
TCGA-AA-A01X	0.484	3.91396016893331
TCGA-AA-3561	1.228	3.98760809326688
TCGA-AA-A03J	2.566	4.66346447439987
TCGA-AA-A00O	2.386	2.87101355927992
TCGA-AA-A017	2.418	3.65776033508328
TCGA-AG-A02N	0.02	3.29433053632333
TCGA-AF-3400	0.048	1.28812538679662
TCGA-AA-3715	0.07	1.89366876494023
TCGA-AG-A014	2.731	4.34826224270082
TCGA-AG-A01Y	0.728	0
TCGA-AA-3710	0.005	2.70626879694329
TCGA-AG-A011	0.793	3.33703498727757
TCGA-AA-A01R	-0.001	2.79646660591487
TCGA-AA-A01Z	0.913	3.180851377894
TCGA-AA-A02E	0.535	2.37851162325373
TCGA-AA-A02Y	0.803	2.50428585442156
TCGA-AF-2692	0.057	2.17833724125851
TCGA-AA-3518	-0.011	2.42732387260667
TCGA-AG-3593	1.119	3.27641830301896
TCGA-AG-A015	1.25	2.50695998871988
TCGA-AA-A03F	0.001	2.58496250072116
TCGA-AA-A010	-0.006	1.03005723385618
TCGA-AG-3584	1.51	2.64689024986436
TCGA-AA-A029	0.803	2.61996895054907
TCGA-AG-3594	0	2.0990293759353
TCGA-AA-A00E	0.008	2.78108357321548
TCGA-AA-A01C	1.864	3.07760281812397
TCGA-AG-A00Y	0.985	3.11839470080223
TCGA-AA-3684	0.281	1.03005723385618
TCGA-A6-3807	0.858	2.47726830378308
TCGA-AA-A004	1.587	0.953706347726065
TCGA-AG-A026	2.812	3.17665871280752
TCGA-AA-A02H	2.424	3.18419675919798
TCGA-AF-3913	1.779	2.96541976828986
TCGA-A6-3810	1.457	2.77665812483469
TCGA-AA-3666	1.235	3.99047722588149
TCGA-AA-A02R	0.005	1.59505131834474
TCGA-AA-A01D	-0.404	3.48881264200962
TCGA-AG-A032	2.273	2.99619842984014
TCGA-AA-3558	0.94	3.58179522164247
TCGA-AA-3989	0.725	3.12188791084033
TCGA-AG-A01W	0.816	3.31278744103089
TCGA-AA-A01K	0.656	2.02260142893713
TCGA-AA-A01I	0.904	3.46769134563123
TCGA-AA-A01S	0.904	3.94239103449823
TCGA-AA-3554	-0.004	2.38142910663602
TCGA-AA-A01V	0.001	1.97703885155669
TCGA-AA-A02J	1.607	4.1418113652334
TCGA-AA-3529	0.523	2.78108357321548
TCGA-AA-3848	0.817	2.77444029958487
TCGA-AG-3574	2.296	3.24712801492443
TCGA-AA-3525	-0.022	2.53080673067425
TCGA-AG-A002	0.01	2.19501598240514
TCGA-AA-A01P	-0.004	0
TCGA-AA-3672	0.008	1.51229343302292
TCGA-AA-A00F	1.248	3.2423216971835
TCGA-AG-3580	0.609	2.33703498727757
TCGA-AA-3864	0.002	2.36678233067162
TCGA-AG-A01J	1.659	2.38142910663602
TCGA-AA-3531	1.798	3.9625003169579
TCGA-AA-A01T	1.697	4.53212006261828
TCGA-AG-A01N	3.293	3.92149646523249
TCGA-AA-3526	1.267	2.90790265811294
TCGA-AA-A024	0	1.72016323860167
TCGA-AA-3986	0.601	1.77887254590013
TCGA-AA-3664	-0.822	3.56457071188998
TCGA-AA-A022	0.008	0.91396016893331
TCGA-AA-3552	0.6	3.48271244247321
TCGA-AG-A008	0.685	2.55167790900908
TCGA-AG-A01L	1.638	3.71901046583487
TCGA-AA-3695	0.885	3.62613168969756
TCGA-AA-A00U	1.121	3.56071495447448
TCGA-AA-A00N	0.12	1.77887254590013
TCGA-AA-A00R	-0.017	1.97703885155669
TCGA-AG-A00H	1.472	2.58496250072116
TCGA-AA-A00K	0.858	1.25032335408424
TCGA-AA-A00A	-0.011	1.03005723385618
